response_id,query_id,title,provider,source_provider,asset_title,query,url,local_path,bytes,license,landing_url,exists
r_000001_01,q_000001,Rome's Ancient Wonders: A Family Guide,Wikimedia Commons,Wikimedia Commons,File:Colosseum-Rome-May-2009.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Colosseum-Rome-May-2009.jpg/1280px-Colosseum-Rome-May-2009.jpg,assets\r_000001_01_1_colosseum.jpg,2196090,,,True
r_000001_01,q_000001,Rome's Ancient Wonders: A Family Guide,Wikimedia Commons,Wikimedia Commons,File:IT3 01 02 Entrance Forum Romanum-Rome Ruins small.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/IT3_01_02_Entrance_Forum_Romanum-Rome_Ruins_small.jpg/1280px-IT3_01_02_Entrance_Forum_Romanum-Rome_Ruins_small.jpg,assets\r_000001_01_2_800.jpg,4332420,,,True
r_000001_01,q_000001,Rome's Ancient Wonders: A Family Guide,Wikimedia Commons,Wikimedia Commons,File:Dome of Pantheon (Rome).jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Dome_of_Pantheon_%28Rome%29.jpg/1280px-Dome_of_Pantheon_%28Rome%29.jpg,assets\r_000001_01_3_pantheon_oculus.jpg,191946,,,True
r_000001_01,q_000001,Rome's Ancient Wonders: A Family Guide,Wikimedia Commons,Wikimedia Commons,File:Angel with fish in the fountain of Neptune in Piazza Navona in Rome.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Angel_with_fish_in_the_fountain_of_Neptune_in_Piazza_Navona_in_Rome.jpg/1280px-Angel_with_fish_in_the_fountain_of_Neptune_in_Piazza_Navona_in_Rome.jpg,assets\r_000001_01_9_800.jpg,280415,,,True
r_000001_01,q_000001,Rome's Ancient Wonders: A Family Guide,Wikimedia Commons,Wikimedia Commons,"File:Amanita lividopallescens, Villa Borghese Gardens, Rome.jpg",,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Amanita_lividopallescens%2C_Villa_Borghese_Gardens%2C_Rome.jpg/1280px-Amanita_lividopallescens%2C_Villa_Borghese_Gardens%2C_Rome.jpg,assets\r_000001_01_10_800.jpg,504256,,,True
r_000002_01,q_000002,Quarterly Drink Sales Performance,Wikimedia Commons,Wikimedia Commons,File:2019 02 Awesome Coffee Shop in Korat.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/2019_02_Awesome_Coffee_Shop_in_Korat.jpg/1280px-2019_02_Awesome_Coffee_Shop_in_Korat.jpg,assets\r_000002_01_1_coffeeshop_interior.jpg,75692,,,True
r_000002_01,q_000002,Quarterly Drink Sales Performance,Wikimedia Commons,Wikimedia Commons,File:A young man holding a glass of iced coffee at home at sundown. Happy hour non-alcoholic beverage.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/A_young_man_holding_a_glass_of_iced_coffee_at_home_at_sundown._Happy_hour_non-alcoholic_beverage.jpg/1280px-A_young_man_holding_a_glass_of_iced_coffee_at_home_at_sundown._Happy_hour_non-alcoholic_beverage.jpg,assets\r_000002_01_3_icedcoffee.jpg,97423,,,True
r_000002_01,q_000002,Quarterly Drink Sales Performance,Wikimedia Commons,Wikimedia Commons,File:A cup of cappuccino at Indooroopilly Shopping Centre.JPG,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/A_cup_of_cappuccino_at_Indooroopilly_Shopping_Centre.JPG/1280px-A_cup_of_cappuccino_at_Indooroopilly_Shopping_Centre.JPG,assets\r_000002_01_5_cappuccino.jpg,94918,,,True
r_000003_01,q_000003,Cooperative Games for Your Next Game Night,Openverse,flickr,Game Night,board game night table pieces,https://live.staticflickr.com/5137/5587755102_289b3ebb88_b.jpg,assets\r_000003_01_01_cooperative_board_game_table.jpg,150547,by,https://www.flickr.com/photos/hanumann/5587755102,True
r_000003_01,q_000003,Cooperative Games for Your Next Game Night,Wikimedia Commons,Wikimedia Commons,File:Chess game Staunton No. 6.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Chess_game_Staunton_No._6.jpg/1280px-Chess_game_Staunton_No._6.jpg,assets\r_000003_01_2_spirit-island-board-game.jpg,184065,,,True
r_000003_01,q_000003,Cooperative Games for Your Next Game Night,Openverse,flickr,Sorry board game on table,board game night table pieces,https://live.staticflickr.com/5172/5463789169_ce0003c645_b.jpg,assets\r_000003_01_02_card_game_table.jpg,245241,by,https://www.flickr.com/photos/mhw/5463789169,True
r_000004_01,q_000004,Cyberpunk Noir: A Reading Playlist,Openverse,flickr,NeonWave Streets (Hochelega Montreal),cyberpunk noir city night,https://live.staticflickr.com/65535/50609598032_06d0a739ee_b.jpg,assets\r_000004_01_01_cyberpunk_noir_city_night.jpg,406852,by,https://www.flickr.com/photos/149819905@N03/50609598032,True
r_000005_01,q_000005,Recommended Laptop for Graphic Design Students,Openverse,flickr,"iPhone, Macbook and Lenovo laptop",Lenovo laptop workstation,https://live.staticflickr.com/666/20706224091_9358c6bfcf_b.jpg,assets\r_000005_01_01_lenovo_laptop_workstation.jpg,108751,cc0,https://www.flickr.com/photos/8638355@N06/20706224091,True
r_000005_01,q_000005,Recommended Laptop for Graphic Design Students,Openverse,flickr,Graphic and digital design workspace,graphic designer laptop desk,https://live.staticflickr.com/8035/8043446839_ee8c09f978_b.jpg,assets\r_000005_01_02_graphic_design_desk.jpg,59227,by,https://www.flickr.com/photos/ufv/8043446839,True
r_000006_01,q_000006,Choosing Your Ideal Coffee Maker for Quick Mornings,Openverse,flickr,Slow-drip coffee maker,drip coffee maker,https://live.staticflickr.com/4028/4433083135_364ea79a11_b.jpg,assets\r_000006_01_01_drip_coffee_maker.jpg,156581,by-sa,https://www.flickr.com/photos/44124427152@N01/4433083135,True
r_000006_01,q_000006,Choosing Your Ideal Coffee Maker for Quick Mornings,Openverse,flickr,"Artistic Coffee from French Press Coffee in Santa Barbara, CA",French press coffee,https://live.staticflickr.com/8160/7663486588_80dccd3ed4_b.jpg,assets\r_000006_01_02_french_press_coffee.jpg,105332,by,https://www.flickr.com/photos/80135679@N02/7663486588,True
r_000006_01,q_000006,Choosing Your Ideal Coffee Maker for Quick Mornings,Openverse,flickr,Espresso Coffee Machine - Brother Baba Budan,single serve coffee machine,https://live.staticflickr.com/3382/3224681540_bbe1c585d8_b.jpg,assets\r_000006_01_03_single_serve_coffee_machine.jpg,147789,by-sa,https://www.flickr.com/photos/10559879@N00/3224681540,True
r_000007_01,q_000007,Top Hotel Pick for Your Kyoto Stay,TravelAPI hotel media,TravelAPI,Sakura Inn Kyoto hotel photo,,https://i.travelapi.com/lodging/25000000/24910000/24907000/24906916/82ccd7f8_z.jpg,assets\r_000007_01_sakura_inn.jpg,46788,,,True
r_000007_01,q_000007,Top Hotel Pick for Your Kyoto Stay,Gion Fukuzumi hotel site,Gion Fukuzumi,Gion Fukuzumi room photo,,https://www.gion-fukuzumi.com/wp-content/themes/gion_fukuzumi/common/images/english/img_room01.jpg,assets\r_000007_01_gion_ryokan.jpg,20055,,,True
r_000007_01,q_000007,Top Hotel Pick for Your Kyoto Stay,Wikimedia Commons,Wikimedia Commons,New Otani Hotel photo,,https://upload.wikimedia.org/wikipedia/commons/1/18/Newotanihotel.jpg,assets\r_000007_01_kyoto_grand.jpg,61471,,,True
r_000008_01,q_000008,Your Transatlantic Multi-City Flight Plan,Openverse,flickr,Planes at Logan Airport - Constitution Beach - East Boston - 2014-06-01,commercial airplane airport runway,https://live.staticflickr.com/2918/14346804576_1d0700a9f1_b.jpg,assets\r_000008_01_01_commercial_airplane_airport_runway.jpg,177827,by,https://www.flickr.com/photos/57325827@N00/14346804576,True
r_000009_01,q_000009,Rome vs Lisbon: October Climate Pick,Wikimedia Commons,Wikimedia Commons,"File:Cloudflare and EY Office Complex – Modern Architecture in Alcântara, Lisbon (54708346011).jpg",,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Cloudflare_and_EY_Office_Complex_%E2%80%93_Modern_Architecture_in_Alc%C3%A2ntara%2C_Lisbon_%2854708346011%29.jpg/1280px-Cloudflare_and_EY_Office_Complex_%E2%80%93_Modern_Architecture_in_Alc%C3%A2ntara%2C_Lisbon_%2854708346011%29.jpg,assets\r_000009_01_lisbon_skyline.jpg,303515,,,True
r_000009_01,q_000009,Rome vs Lisbon: October Climate Pick,Wikimedia Commons,Wikimedia Commons,"File:Drawing, St. Peter's Basilica Seen from the North against the Hills and Skyline of Rome, January 1869 (CH 18195387).jpg",,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Drawing%2C_St._Peter%27s_Basilica_Seen_from_the_North_against_the_Hills_and_Skyline_of_Rome%2C_January_1869_%28CH_18195387%29.jpg/1280px-Drawing%2C_St._Peter%27s_Basilica_Seen_from_the_North_against_the_Hills_and_Skyline_of_Rome%2C_January_1869_%28CH_18195387%29.jpg,assets\r_000009_01_rome_skyline.jpg,293960,,,True
r_000010_01,q_000010,Melbourne 3-Day Walking Forecast & Attire Guide,Openverse,flickr,Melbourne CBD and Yarra River,Melbourne Australia skyline Yarra River,https://live.staticflickr.com/3350/3254818064_abd0676b80_b.jpg,assets\r_000010_01_01_melbourne_cloudy_skyline.jpg,193870,by,https://www.flickr.com/photos/avlxyz/3254818064,True
r_000010_01,q_000010,Melbourne 3-Day Walking Forecast & Attire Guide,Openverse,flickr,Enjoying the sun - Federation Square Connex BBQ,Melbourne Sunny,https://live.staticflickr.com/3047/2309290869_6cf7319656_b.jpg,assets\r_000010_01_01_melbourne_sunny.jpg,254098,by-sa,https://www.flickr.com/photos/10559879@N00/2309290869,True
r_000010_01,q_000010,Melbourne 3-Day Walking Forecast & Attire Guide,Wikimedia Commons,Wikimedia Commons,"File:Former Russell Street Police Headquarters (Deco Tower) at night in rain, Melbourne.jpg",,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Former_Russell_Street_Police_Headquarters_%28Deco_Tower%29_at_night_in_rain%2C_Melbourne.jpg/1280px-Former_Russell_Street_Police_Headquarters_%28Deco_Tower%29_at_night_in_rain%2C_Melbourne.jpg,assets\r_000010_01_3_melbourne_rain.jpg,365290,,,True
r_000011_01,q_000011,Q1 2023 Revenue Visualization,Openverse,flickr,20130618-RD-LSC-0329,financial chart computer monitor,https://live.staticflickr.com/7357/9404363099_f6214a8880_b.jpg,assets\r_000011_01_01_financial_chart_computer_monitor.jpg,175732,pdm,https://www.flickr.com/photos/41284017@N08/9404363099,True
r_000012_01,q_000012,"Project Performance Dashboard: Nov 6-10, 2023",Openverse,stocksnap,Analytics dashboard on screen,analytics dashboard computer,https://cdn.stocksnap.io/img-thumbs/960w/9699Y6WKLD.jpg,assets\r_000012_01_01_business_analytics_dashboard.jpg,387866,cc0,https://stocksnap.io/photo/seo-ppc-9699Y6WKLD,True
r_000012_01,q_000012,"Project Performance Dashboard: Nov 6-10, 2023",Wikimedia Commons,Wikimedia Commons,File:Illustration from the book Sappelen by Mark Ramen; Dashboard.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Illustration_from_the_book_Sappelen_by_Mark_Ramen%3B_Dashboard.jpg/1280px-Illustration_from_the_book_Sappelen_by_Mark_Ramen%3B_Dashboard.jpg,assets\r_000012_01_2_charts.jpg,477472,,,True
r_000013_01,q_000013,Paris Family Adventure: A 5-Day Itinerary,Wikimedia Commons,Wikimedia Commons,"File:Cour Carrée, Louvre Museum, 2 April 2009.jpg",,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Cour_Carr%C3%A9e%2C_Louvre_Museum%2C_2_April_2009.jpg/1280px-Cour_Carr%C3%A9e%2C_Louvre_Museum%2C_2_April_2009.jpg,assets\r_000013_01_louvre_museum.jpg,198483,,,True
